name,nTrees,maxSamples,trainTime,accuracy,precision,recall,f1score,kappa

SUBSET_1,8,1.0,51.4349,0.9331,0.8973,0.9412,0.9157,0.8318
SUBSET_1,16,1.0,95.6046,0.9327,0.896,0.9436,0.9156,0.8317
SUBSET_1,32,1.0,187.5294,0.9322,0.8952,0.944,0.9151,0.8308
SUBSET_1,64,1.0,379.3531,0.932,0.8949,0.9445,0.915,0.8307
SUBSET_1,128,1.0,749.7668,0.9318,0.8945,0.9446,0.9148,0.8302
SUBSET_2,8,1.0,55.8675,0.9644,0.9415,0.9688,0.954,0.9081
SUBSET_2,16,1.0,108.7022,0.9641,0.9404,0.9698,0.9538,0.9076
SUBSET_2,32,1.0,215.7972,0.9639,0.9397,0.9701,0.9535,0.9071
SUBSET_2,64,1.0,421.3315,0.9639,0.9396,0.9704,0.9535,0.9071
SUBSET_2,128,1.0,850.608,0.9638,0.9394,0.9704,0.9534,0.9069
SUBSET_3,8,1.0,87.5497,0.9641,0.9411,0.9685,0.9536,0.9074
SUBSET_3,16,1.0,178.1054,0.964,0.9402,0.9695,0.9535,0.9072
SUBSET_3,32,1.0,354.6463,0.9638,0.9397,0.9699,0.9534,0.9069
SUBSET_3,64,1.0,705.2556,0.9637,0.9395,0.9701,0.9533,0.9067
SUBSET_3,128,1.0,1400.0496,0.9638,0.9394,0.9703,0.9534,0.9069
SUBSET_4,8,1.0,122.7843,0.98,0.9669,0.981,0.9737,0.9474
SUBSET_4,16,1.0,238.59,0.9799,0.9662,0.9817,0.9736,0.9472
SUBSET_4,32,1.0,472.6215,0.9798,0.9658,0.9821,0.9736,0.9472
SUBSET_4,64,1.0,961.5474,0.9798,0.9655,0.9823,0.9735,0.947
SUBSET_4,128,1.0,1995.7634,0.9797,0.9655,0.9822,0.9735,0.9469
SUBSET_5,8,1.0,125.6462,0.9812,0.969,0.9819,0.9752,0.9505
SUBSET_5,16,1.0,258.9351,0.9813,0.9686,0.9829,0.9755,0.951
SUBSET_5,32,1.0,507.7935,0.9813,0.9682,0.9833,0.9754,0.9509
SUBSET_5,64,1.0,1009.3534,0.9814,0.9684,0.9835,0.9757,0.9513
SUBSET_5,128,1.0,2139.6774,0.9815,0.9685,0.9837,0.9758,0.9515
SUBSET_6,8,1.0,166.5133,0.9817,0.9699,0.9824,0.9759,0.9518
SUBSET_6,16,1.0,340.8417,0.982,0.9698,0.9835,0.9764,0.9528
SUBSET_6,32,1.0,661.0314,0.9819,0.9694,0.9837,0.9762,0.9525
SUBSET_6,64,1.0,1429.8891,0.9819,0.9691,0.9838,0.9762,0.9524
SUBSET_6,128,1.0,3102.7,0.9819,0.9691,0.984,0.9762,0.9524
