name,nTrees,maxSamples,trainTime,accuracy,precision,recall,f1score,kappa
SUBSET_1,128,1.0,834.7629,0.9205,0.928,0.9205,0.9202,0.894
SUBSET_1,16,1.0,99.3596,0.9175,0.9259,0.9175,0.9172,0.89
SUBSET_1,32,1.0,194.1002,0.9195,0.9274,0.9195,0.9192,0.8926
SUBSET_1,64,1.0,392.4972,0.9204,0.928,0.9204,0.9202,0.8939
SUBSET_1,8,1.0,51.8036,0.9149,0.9243,0.9149,0.9144,0.8865
SUBSET_2,128,1.0,1592.317,0.9536,0.956,0.9536,0.9537,0.9381
SUBSET_2,16,1.0,181.7587,0.952,0.9546,0.952,0.9521,0.936
SUBSET_2,32,1.0,366.8616,0.9529,0.9554,0.9529,0.953,0.9372
SUBSET_2,64,1.0,726.5124,0.9534,0.9558,0.9534,0.9535,0.9379
SUBSET_2,8,1.0,92.84,0.9502,0.9532,0.9502,0.9502,0.9336
SUBSET_3,128,1.0,2132.893,0.975,0.9757,0.975,0.9751,0.9667
SUBSET_3,16,1.0,254.7249,0.9728,0.9737,0.9728,0.9728,0.9637
SUBSET_3,32,1.0,501.455,0.9737,0.9745,0.9737,0.9738,0.965
SUBSET_3,64,1.0,1109.6868,0.9744,0.9752,0.9744,0.9745,0.9659
SUBSET_3,8,1.0,125.3313,0.9701,0.9713,0.9701,0.9701,0.9601
SUBSET_4,128,1.0,2983.6908,0.9775,0.9781,0.9775,0.9776,0.97
SUBSET_4,16,1.0,345.3818,0.9757,0.9765,0.9757,0.9757,0.9676
SUBSET_4,32,1.0,700.1592,0.9771,0.9777,0.9771,0.9771,0.9694
SUBSET_4,64,1.0,1530.8657,0.9775,0.9781,0.9775,0.9775,0.97
SUBSET_4,8,1.0,174.0124,0.9736,0.9746,0.9736,0.9736,0.9648
SUBSET_1,4,1.0,39.1804,0.9083,0.9198,0.9083,0.9075,0.8777
SUBSET_2,4,1.0,73.9738,0.9456,0.9496,0.9456,0.9456,0.9275
SUBSET_3,4,1.0,103.1952,0.9638,0.9658,0.9638,0.9639,0.9518
SUBSET_4,4,1.0,146.4846,0.9684,0.9701,0.9684,0.9684,0.9578
SUBSET_1,2,1.0,37.5212,0.8932,0.9107,0.8932,0.8915,0.8576
SUBSET_2,2,1.0,70.5237,0.9328,0.9405,0.9328,0.9326,0.9104
SUBSET_3,2,1.0,98.2246,0.9488,0.9542,0.9488,0.9488,0.9318
SUBSET_4,2,1.0,133.8256,0.9539,0.9585,0.9539,0.9539,0.9385
