Feature,Importance
gaussian 3,0.1421016101012729
gaussian 15,0.10382573597829761
gaussian 12,0.07427684483372551
gndvi,0.06268337109965219
median 7,0.06098696757176967
gaussian 7,0.05423089306962727
gabor_37,0.04529129656109218
ndwi,0.04322368333593385
gabor_13,0.03969462230502806
gabor_36,0.03892216124443888
gabor_19,0.03588833079616451
gabor_18,0.03510106906859835
gabor_12,0.032715485862101996
rededge,0.02955242599260833
ndvi,0.029472226105877852
gabor_24,0.027520427351282635
ndre,0.014298300139043886
gray,0.01196087094929945
gabor_42,0.01139651275912575
green,0.010323473871830878
