name,nTrees,trainTime,accuracy,precision,recall,f1score,kappa
Top 1,32,1.0,286.9429,0.6497,0.6582,0.6497,0.5742,0.533
Top 2,32,1.0,212.2819,0.8777,0.8883,0.8777,0.8772,0.8369
Top 3,32,1.0,198.8064,0.8993,0.907,0.8993,0.8993,0.8658
Top 4,32,1.0,324.4729,0.8988,0.9064,0.8988,0.8987,0.8651
Top 5,32,1.0,310.121,0.9251,0.9296,0.9251,0.9251,0.9002
Top 6,32,1.0,325.8248,0.9386,0.9414,0.9386,0.9386,0.9181
Top 7,32,1.0,278.447,0.9585,0.9604,0.9585,0.9585,0.9446
Top 8,32,1.0,305.5513,0.9616,0.9633,0.9616,0.9617,0.9488
Top 9,32,1.0,382.7154,0.9622,0.9638,0.9622,0.9622,0.9496
Top 10,32,1.0,403.3286,0.9614,0.9631,0.9614,0.9615,0.9486
Top 11,32,1.0,440.4578,0.9615,0.9632,0.9615,0.9615,0.9486
Top 12,32,1.0,445.0175,0.9675,0.9687,0.9675,0.9676,0.9567
Top 13,32,1.0,470.1825,0.9715,0.9723,0.9715,0.9715,0.962
Top 14,32,1.0,475.9208,0.9708,0.9717,0.9708,0.9708,0.961
Top 15,32,1.0,490.4159,0.9725,0.9733,0.9725,0.9725,0.9633
Top 16,32,1.0,644.6484,0.9766,0.9772,0.9766,0.9766,0.9688
